Name,Age,Email,Country,Salary,DateOfJoining
Calvin Herrera,21.0,,China,50975.46,
James Davis,invalid,teresa22@example.com,Mauritius,54801.7,2021-07-15
Brandi White,35.0,mhall@example.net,Tanzania,21408.87,2020-11-26
Melanie Buckley,35.0,,Mali,78258.04,
Marissa Williams,18.0,,,46658.98,2020-07-14
Matthew Stone,,jessicamoody@example.com,,28874.43,2020-07-06
Charles Sanchez,28.0,jenkinsmaria@example.net,Chile,,
Amber Mendoza,64.0,qrobinson@example.com,Uganda,47293.85,2021-05-27
,33.0,robertsmith@example.net,Nigeria,99405.51,
Whitney Graham,40.0,zrodriguez@example.org,Mozambique,98826.59,2023-05-08
Patrick Brown PhD,44.0,james16@example.net,Greece,83842.6,2020-07-12
Kristin Stewart,70.0,,,73952.9,2021-09-06
Julie Kim,77.0,rmorgan@example.net,,46532.6,2021-03-07
James Williams,69.0,,Lesotho,84632.67,
Melissa Cook,51.0,thompsonhunter@example.org,,52040.14,2022-04-04
invalid,19.0,,,36728.76,2021-04-22
Dr. Olivia Caldwell MD,76.0,hernandezjason@example.com,Philippines,78453.84,2023-07-19
Diane Smith,57.0,david44@example.net,Saint Barthelemy,86579.95,2020-07-27
Thomas Navarro,50.0,psnyder@example.org,Turks and Caicos Islands,86286.69,2020-11-03
Terri Phillips,27.0,garyanderson@example.net,Cambodia,47755.97,invalid
,24.0,katelyn76@example.net,Yemen,61256.89,2020-01-06
Wesley Whitaker,47.0,,British Indian Ocean Territory (Chagos Archipelago),97832.79,2020-12-20
Andrew Bryant,43.0,jacobtorres@example.com,Colombia,32205.53,2020-10-26
,68.0,guyjohnson@example.com,Sudan,80279.35,2022-10-21
Karen Peters,58.0,ricelisa@example.net,Yemen,36736.59,
,47.0,stephanie20@example.net,Macao,36365.55,
Justin Wright,29.0,elizabethreid@example.org,Timor-Leste,28951.24,2020-02-21
Michael Oconnell,19.0,fdelacruz@example.org,Grenada,62929.05,2022-01-21
Christina Garcia,40.0,kathryn18@example.org,invalid,73916.51,2023-11-13
Chase Parker,27.0,,Belgium,28097.5,
Morgan Brown,79.0,wsmith@example.org,Cape Verde,28583.22,2021-03-12
Mitchell Smith,32.0,spierce@example.com,Armenia,57795.75,2021-04-19
Whitney Garcia,70.0,tylergolden@example.com,Netherlands Antilles,68794.39,2022-07-23
invalid,,ericnguyen@example.com,Trinidad and Tobago,49670.61,2020-11-22
Angela Thompson,73.0,petersonshelby@example.org,Albania,,2023-05-09
Phillip Garza,49.0,brandimclean@example.org,Georgia,34326.41,
Tabitha Delgado,74.0,lancewilliams@example.net,Sudan,98396.21,2022-04-03
Shannon Gonzalez,22.0,jean37@example.net,,64831.97,
David Walker,43.0,linda84@example.net,Guinea-Bissau,89683.17,2021-06-20
Brandi Long,45.0,vford@example.com,Ecuador,30773.53,2020-06-29
Kristi Calderon,80.0,sharon04@example.com,Iceland,99507.66,2022-07-09
Kendra Mason,47.0,megancarter@example.com,Moldova,34369.87,2023-07-09
Debbie Romero,58.0,nathaniel61@example.net,Reunion,39875.14,2023-02-11
Elizabeth Wilkinson,66.0,gailmcdonald@example.org,Turkmenistan,69624.01,2023-05-19
David Randall,74.0,cody30@example.net,Niue,43013.14,2024-05-24
Nancy Irwin,42.0,juliaweaver@example.net,Czech Republic,29455.0,2020-07-21
Joel Martin,76.0,bjacobson@example.com,Korea,invalid,2022-05-23
Lauren Jones,68.0,melissadyer@example.com,Malawi,42435.96,2020-06-12
invalid,43.0,,Indonesia,41928.2,2020-05-08
Ryan Middleton,42.0,mcconnellashley@example.net,Bahamas,78048.75,2021-04-05
Seth Bradley,76.0,melissakim@example.org,Slovakia (Slovak Republic),49354.13,2021-08-01
Alicia Miller,59.0,thomas45@example.net,Mauritania,52834.29,2020-06-03
Cody Jackson,48.0,jamieayers@example.net,Luxembourg,55583.62,2021-05-23
Garrett Davidson,56.0,gjames@example.com,Solomon Islands,86227.88,
Elizabeth Ross,52.0,richardlewis@example.net,Equatorial Guinea,29992.69,2020-04-08
,72.0,brian50@example.com,Somalia,90628.22,2020-04-11
Patricia Singh,65.0,lramirez@example.org,Greece,85290.44,2020-03-18
Christopher Stokes,42.0,,South Africa,20289.17,2021-09-23
